job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,Latitude,Longitude,Reason
103095455,,,,,,,,,,,,,,,,,,,,,,1018290009,1055141,40.802334,-73.955836,Geocoding (add Lat/Long)
103096310,,,,,,,,,,,,,,,,,,,,,,1009210006,1020389,40.732345,-73.984384,Geocoding (add Lat/Long)
103098489,,,,,,,,,,,,,,,,,,,,,,1011830117,1030974,40.779854,-73.986117,Geocoding (add Lat/Long)
103100010,,,,,,,,,,,,,,,,,,,,,,1013477501,1089507,40.757851,-73.965889,Geocoding (add Lat/Long)
103111393,,,,,,,,,,,,,,,,,,,,,,1002147503,1086551,40.72104,-74.008987,Geocoding (add Lat/Long)
103126742,,,,,,,,,,,,,,,,,,,,,,1002147503,1086551,40.72104,-74.008987,Geocoding (add Lat/Long)
103131086,,,,,,,,,,,,,,,,,,,,,,1017530058,1087891,40.808206,-73.939205,Geocoding (add Lat/Long)
103146230,,,,,,,,,,,,,,,,,,,,,,1010057501,1023160,40.76165,-73.980684,Geocoding (add Lat/Long)
103174084,,,,,,,,,,,,,,,,,,,,,,1016390027,1087368,40.795401,-73.943283,Geocoding (add Lat/Long)
103178534,,,,,,,,,,,,,,,,,,,,,,1006020010,1086101,40.730545,-74.00906,Geocoding (add Lat/Long)
103178865,,,,,,,,,,,,,,,,,,,,,,1006027501,1086102,40.731166,-74.009139,Geocoding (add Lat/Long)
103179061,,,,,,,,,,,,,,,,,,,,,,1016747501,1086440,40.787598,-73.943196,Geocoding (add Lat/Long)
103181058,,,,,,,,,,,,,,,,,,,,,,1021210053,1062905,40.837152,-73.939301,Geocoding (add Lat/Long)
103185018,,,,,,,,,,,,,,,,,,,,,,1015440013,1049848,40.774362,-73.952811,Geocoding (add Lat/Long)
103190716,,,,,,,,,,,,,,,,,,,,,,1002120045,1002738,40.721046,-74.005548,Geocoding (add Lat/Long)
103193456,,,,,,,,,,,,,,,,,,,,,,1008290001,1088723,40.745342,-73.990487,Geocoding (add Lat/Long)
103198512,,,,,,,,,,,,,,,,,,,,,,1008470024,1016147,40.737786,-73.98977,Geocoding (add Lat/Long)
103199245,,,,,,,,,,,,,,,,,,,,,,1010897502,1085962,40.760884,-73.998477,Geocoding (add Lat/Long)
103202197,,,,,,,,,,,,,,,,,,,,,,1007180098,1083577,40.745162,-74.00354,Geocoding (add Lat/Long)
103202204,,,,,,,,,,,,,,,,,,,,,,1007180097,1088679,40.745219,-74.003638,Geocoding (add Lat/Long)
103243802,,,,,,,,,,,,,,,,,,,,,,1014910062,1046459,40.777071,-73.962395,Geocoding (add Lat/Long)
103247880,,,,,,,,,,,,,,,,,,,,,,1007690061,1013999,40.742897,-73.999062,Geocoding (add Lat/Long)
103248610,,,,,,,,,,,,,,,,,,,,,,1019500010,1059272,40.809849,-73.953945,Geocoding (add Lat/Long)
103249628,,,,,,,,,,,,,,,,,,,,,,1008930037,1019098,40.748061,-73.977176,Geocoding (add Lat/Long)
103252882,,,,,,,,,,,,,,,,,,,,,,1010640036,1026797,40.76679,-73.987094,Geocoding (add Lat/Long)
103255335,,,,,,,,,,,,,,,,,,,,,,1014220002,1043878,40.76665,-73.962455,Geocoding (add Lat/Long)
103255344,,,,,,,,,,,,,,,,,,,,,,1014220002,1043878,40.76665,-73.962455,Geocoding (add Lat/Long)
103278855,,,,,,,,,,,,,,,,,,,,,,1019760019,1059654,40.810479,-73.959819,Geocoding (add Lat/Long)
103283527,,,,,,,,,,,,,,,,,,,,,,1005880074,1010051,40.732843,-74.004896,Geocoding (add Lat/Long)
103298290,,,,,,,,,,,,,,,,,,,,,,1002970015,1003810,40.715565,-73.990289,Geocoding (add Lat/Long)
103305184,,,,,,,,,,,,,,,,,,,,,,1020447501,1060788,40.822892,-73.942071,Geocoding (add Lat/Long)
103306575,,,,,,,,,,,,,,,,,,,,,,1021580103,1063837,40.853058,-73.930409,Geocoding (add Lat/Long)
103310329,,,,,,,,,,,,,,,,,,,,,,1004580006,1006545,40.726212,-73.991381,Geocoding (add Lat/Long)
103316065,,,,,,,,,,,,,,,,,,,,,,1002180024,1002831,40.722736,-74.011213,Geocoding (add Lat/Long)
103322815,,,,,,,,,,,,,,,,,,,,,,1017160051,1089401,40.79595,-73.93211,Geocoding (add Lat/Long)
103322851,,,,,,,,,,,,,,,,,,,,,,1008670044,1017213,40.74967,-73.980236,Geocoding (add Lat/Long)
103325956,,,,,,,,,,,,,,,,,,,,,,1011050029,1081009,40.77052,-73.99187,Geocoding (add Lat/Long)
103332546,,,,,,,,,,,,,,,,,,,,,,1004277504,1087241,40.723203,-73.991248,Geocoding (add Lat/Long)
103351016,,,,,,,,,,,,,,,,,,,,,,1015600001,1050360,40.773206,-73.951638,Geocoding (add Lat/Long)
103360756,,,,,,,,,,,,,,,,,,,,,,1013890064,1041670,40.773872,-73.964935,Geocoding (add Lat/Long)
103361363,,,,,,,,,,,,,,,,,,,,,,1004880023,1007332,40.724318,-74.002442,Geocoding (add Lat/Long)
103364173,,,,,,,,,,,,,,,,,,,,,,1017540006,1054221,40.808887,-73.939638,Geocoding (add Lat/Long)
103367660,,,,,,,,,,,,,,,,,,,,,,1019597501,1087286,40.816523,-73.946621,Geocoding (add Lat/Long)
103400721,,,,,,,,,,,,,,,,,,,,,,1007987501,1014813,40.74279,-73.994031,Geocoding (add Lat/Long)
103402881,,,,,,,,,,,,,,,,,,,,,,1022150538,1064672,40.875067,-73.910169,Geocoding (add Lat/Long)
103406690,,,,,,,,,,,,,,,,,,,,,,1012500093,1034049,40.791136,-73.976591,Geocoding (add Lat/Long)
103413735,,,,,,,,,,,,,,,,,,,,,,1005947503,1086554,40.725383,-74.009189,Geocoding (add Lat/Long)
103415564,,,,,,,,,,,,,,,,,,,,,,1015000006,1046947,40.782774,-73.958734,Geocoding (add Lat/Long)
103420647,,,,,,,,,,,,,,,,,,,,,,1007400012,1087208,40.742005,-74.003201,Geocoding (add Lat/Long)
103422039,,,,,,,,,,,,,,,,,,,,,,1000970032,1087577,40.707869,-74.001941,Geocoding (add Lat/Long)
103423029,,,,,,,,,,,,,,,,,,,,,,1000970030,1079113,40.707517,-74.001746,Geocoding (add Lat/Long)
103423788,,,,,,,,,,,,,,,,,,,,,,1000970018,1087524,40.707248,-74.002283,Geocoding (add Lat/Long)
103433508,,,,,,,,,,,,,,,,,,,,,,1021290015,1063094,40.843551,-73.936599,Geocoding (add Lat/Long)
103447646,,,,,,,,,,,,,,,,,,,,,,1002170023,,40.72166,-74.01012,Geocoding (add Lat/Long)
103461264,,,,,,,,,,,,,,,,,,,,,,1019020040,1057438,40.803463,-73.949641,Geocoding (add Lat/Long)
103476604,,,,,,,,,,,,,,,,,,,,,,1011630014,1030410,40.778803,-73.983625,Geocoding (add Lat/Long)
103490358,,,,,,,,,,,,,,,,,,,,,,1020470007,1060884,40.828162,-73.938428,Geocoding (add Lat/Long)
103511807,,,,,,,,,,,,,,,,,,,,,,1010260041,1024858,40.764426,-73.981965,Geocoding (add Lat/Long)
103523821,,,,,,,,,,,,,,,,,,,,,,1016330020,1088165,40.79168,-73.94634,Geocoding (add Lat/Long)
103532928,,,,,,,,,,,,,,,,,,,,,,1019410007,1058874,40.81646,-73.9457,Geocoding (add Lat/Long)
103533231,,,,,,,,,,,,,,,,,,,,,,1018020036,1054791,40.80263,-73.93176,Geocoding (add Lat/Long)
103535792,,,,,,,,,,,,,,,,,,,,,,1016590144,1087889,40.79374,-73.942476,Geocoding (add Lat/Long)
103538815,,,,,,,,,,,,,,,,,,,,,,1011620024,1030370,40.777848,-73.983315,Geocoding (add Lat/Long)
103541936,,,,,,,,,,,,,,,,,,,,,,1000880014,1087947,40.7122,-74.008563,Geocoding (add Lat/Long)
103549545,,,,,,,,,,,,,,,,,,,,,,1015717501,1081307,40.780488,-73.946119,Geocoding (add Lat/Long)
103553986,,,,,,,,,,,,,,,,,,,,,,1016350145,1052104,40.793052,-73.944741,Geocoding (add Lat/Long)
103571804,,,,,,,,,,,,,,,,,,,,,,1010780015,1027028,40.764893,-73.993646,Geocoding (add Lat/Long)
103576024,,,,,,,,,,,,,,,,,,,,,,1004740049,,40.72149,-74.00096,Geocoding (add Lat/Long)
103576202,,,,,,,,,,,,,,,,,,,,,,1016467502,1086570,40.784795,-73.948369,Geocoding (add Lat/Long)
103578665,,,,,,,,,,,,,,,,,,,,,,1016160024,1087365,40.796084,-73.946851,Geocoding (add Lat/Long)
121236484,,,Residential: Multi-Family,Residential,,690,45,645,45,,,,,,,,,,,45,TRUE,,,,,mixed-use hotel-res
103580714,,,,,,,,,,,,,,,,,,,,,,1007000056,1012436,40.75207,-74.003508,Geocoding (add Lat/Long)
103595236,,,,,,,,,,,,,,,,,,,,,,1000160195,1086507,40.716637,-74.014754,Geocoding (add Lat/Long)
103603744,,,,,,,,,,,,,,,,,,,,,,1014460141,1044873,40.76812,-73.95749,Geocoding (add Lat/Long)
103635737,,,,,,,,,,,,,,,,,,,,,,1001800008,1002023,40.718554,-74.009084,Geocoding (add Lat/Long)
103671475,,,,,,,,,,,,,,,,,,,,,,1019080055,1088144,40.807719,-73.948055,Geocoding (add Lat/Long)
103679930,,,,,,,,,,,,,,,,,,,,,,1021340085,1063254,40.834328,-73.946108,Geocoding (add Lat/Long)
